CT_ID,X,Y,year,Tnight,tiger,Prey,hunter,protection,degrated,forest,nonforest,d2road,d2village,habitat
AC10_1,505743,1303215,2016,NA,0,13,0,outside,0.27,2.81,0.06,5.95,11.42,Primary
AC10_B_2,505819,1303011,2016,42,0,4,0,outside,0.31,2.75,0.06,5.84,11.21,Primary
AC10_B_3,504012,1302470,2017,762,0,5,0,outside,0.02,3.11,0,7.58,10.96,Primary
AC8_B_1,498537,1303167,2017,45,0,1,1,outside,0.01,3.13,0,13.09,13.94,Primary
AC8_B_3,497651,1302886,2017,83,0,0,0,outside,0.02,3.1,0,13.65,14.25,Primary
AC9_B_1,501202,1303904,2017,86,0,2,0,outside,0.02,3.11,0,10.54,13.25,Primary
AC9_B_3,499968,1303465,2017,44,0,5,0,outside,0.01,3.12,0,11.7,13.42,Primary
AD11_1,509831,1299266,2016,51,0,0,0,outside,0.32,2.72,0.08,2.66,8.09,Primary
AD8_B_1,498559,1300866,2017,45,0,0,1,outside,0.13,2.93,0.07,11.55,12.13,Primary
AD8_B_2,498706,1300550,2017,45,0,1,1,outside,0.13,2.92,0.08,11.22,11.8,Primary
AD9_B_1,500686,1300751,2017,77,0,3,0,outside,0.03,3.08,0.01,10.09,10.73,Primary
AD9_B_3,501613,1300489,2017,76,0,8,2,outside,0.02,3.12,0,9.35,10.02,Primary
AD9_B_5,499857,1297635,2017,60,0,0,0,outside,0.41,2.57,0.15,8.43,8.93,Primary
AD9_B_7,499649,1297819,2017,86,0,7,0,outside,0.17,2.79,0.17,8.71,9.21,Primary
AE8_B_1,498122,1295351,2017,79,0,2,0,outside,0.02,3.11,0,8.79,9.21,Primary
AE8_B_3,497752,1296186,2017,64,0,2,0,outside,0.02,3.12,0,9.48,9.91,Primary
AF8_B_1,499349,1290573,2017,84,0,6,0,outside,0.18,2.94,0.02,7.06,7.41,Primary
AO5_B_1,487211,1256899,2016,195,0,4,0,outside,0.49,2.53,0.11,3.25,4.51,Primary
AR10_B_1,505077,1241614,2018,73,0,2,0,inside,0.15,2.97,0,13.45,8.68,Primary
AR10_B_3,504681,1242992,2018,146,0,17,0,inside,0.09,3.04,0,12.61,8,Primary
AR13_1,517585,1243421,2017,160,0,9,0,inside,0.18,2.73,0.21,5.44,12.75,Primary
AR13_B_1,517764,1243308,2017,147,0,8,0,inside,0.2,2.76,0.17,5.38,12.64,Primary
AR14_1,521658,1243415,2017,160,0,10,0,inside,0.55,2.57,0.01,2.79,9.24,Primary
AR14_B_1,521295,1243425,2017,160,0,1,0,inside,0.56,2.5,0.06,3.02,9.53,Primary
AR9_B_1,501508,1241266,2017,146,0,2,0,inside,0.29,2.71,0.12,16.04,5.51,Primary
AR9_B_3,501101,1242401,2017,146,0,9,3,inside,0.07,3.02,0.03,15.57,4.65,Primary
AS10_B_1,506161,1237623,2017,146,0,6,0,inside,0,3.12,0,16.34,11.4,Primary
AS10_B_3,505895,1239659,2017,148,0,23,0,inside,0.01,3.11,0,14.67,10.15,Primary
AS13_1,518033,1239443,2017,132,0,11,0,inside,0.03,3.1,0.01,8.16,14.55,Primary
